Track,Weather,Laps,Avg_Tire_Wear,Optimal_Strategy
Suzuka,Sunny,58,1.56,1-stop (Soft→Hard)
Suzuka,Cloudy,71,1.94,2-stop (Soft→Medium→Hard)
Bahrain,Sunny,72,2.1,2-stop (Soft→Medium→Hard)
Monaco,Sunny,52,1.9,1-stop (Soft→Hard)
Monza,Sunny,74,1.23,2-stop (Soft→Medium→Hard)
Monaco,Rainy,66,0.82,1-stop (Medium→Hard)
Suzuka,Sunny,76,1.09,1-stop (Soft→Hard)
Silverstone,Rainy,59,1.39,1-stop (Medium→Hard)
Monaco,Cloudy,51,1.52,1-stop (Soft→Hard)
Monza,Cloudy,73,1.65,2-stop (Soft→Medium→Hard)
Monza,Cloudy,64,0.82,1-stop (Medium→Hard)
Monza,Rainy,53,1.48,2-stop (Medium→Soft→Hard)
Spa,Cloudy,78,1.8,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,66,0.87,1-stop (Medium→Hard)
Spa,Sunny,64,1.27,1-stop (Medium→Hard)
Silverstone,Rainy,55,0.85,1-stop (Medium→Hard)
Spa,Rainy,52,0.94,1-stop (Medium→Hard)
Monaco,Cloudy,64,1.43,1-stop (Medium→Hard)
Silverstone,Sunny,67,1.65,2-stop (Soft→Medium→Hard)
Monza,Cloudy,61,1.15,2-stop (Medium→Soft→Hard)
Silverstone,Sunny,69,1.92,2-stop (Soft→Medium→Hard)
Silverstone,Sunny,69,1.21,1-stop (Medium→Hard)
Monza,Rainy,65,0.93,1-stop (Medium→Hard)
Suzuka,Cloudy,51,1.24,1-stop (Soft→Hard)
Bahrain,Sunny,53,1.68,1-stop (Soft→Hard)
Monaco,Cloudy,54,1.74,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,70,1.04,2-stop (Medium→Soft→Hard)
Suzuka,Cloudy,58,1.42,1-stop (Soft→Hard)
Bahrain,Cloudy,59,1.51,2-stop (Medium→Soft→Hard)
Monaco,Sunny,56,1.07,1-stop (Medium→Hard)
Bahrain,Cloudy,63,1.53,1-stop (Soft→Hard)
Monaco,Rainy,62,0.84,1-stop (Medium→Hard)
Silverstone,Cloudy,60,0.88,1-stop (Medium→Hard)
Bahrain,Cloudy,58,1.94,1-stop (Medium→Hard)
Spa,Cloudy,74,1.96,2-stop (Soft→Medium→Hard)
Monza,Cloudy,61,1.77,1-stop (Soft→Hard)
Suzuka,Sunny,69,1.46,1-stop (Soft→Hard)
Bahrain,Cloudy,75,0.92,1-stop (Medium→Hard)
Monaco,Sunny,72,2.03,2-stop (Soft→Medium→Hard)
Monza,Sunny,52,1.66,1-stop (Soft→Hard)
Suzuka,Cloudy,67,0.95,1-stop (Medium→Hard)
Suzuka,Sunny,68,1.74,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,51,0.84,1-stop (Medium→Hard)
Silverstone,Cloudy,77,1.89,2-stop (Soft→Medium→Hard)
Spa,Cloudy,62,1.11,1-stop (Soft→Hard)
Monza,Cloudy,50,1.6,1-stop (Soft→Hard)
Bahrain,Rainy,61,0.95,1-stop (Medium→Hard)
Monza,Sunny,66,1.78,2-stop (Soft→Medium→Hard)
Silverstone,Cloudy,51,1.46,1-stop (Medium→Hard)
Bahrain,Cloudy,66,1.02,1-stop (Medium→Hard)
Silverstone,Cloudy,54,1.96,1-stop (Medium→Hard)
Monaco,Sunny,52,2.16,1-stop (Soft→Hard)
Bahrain,Sunny,54,2.41,1-stop (Soft→Hard)
Bahrain,Cloudy,72,1.87,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,57,1.18,1-stop (Soft→Hard)
Bahrain,Cloudy,78,1.91,2-stop (Soft→Medium→Hard)
Bahrain,Cloudy,57,0.91,1-stop (Medium→Hard)
Suzuka,Sunny,77,1.29,1-stop (Soft→Hard)
Monza,Cloudy,54,0.85,1-stop (Medium→Hard)
Monaco,Sunny,55,1.49,1-stop (Soft→Hard)
Suzuka,Sunny,55,1.58,2-stop (Medium→Soft→Hard)
Bahrain,Rainy,66,0.92,1-stop (Medium→Hard)
Monza,Cloudy,53,1.79,2-stop (Medium→Soft→Hard)
Spa,Cloudy,77,1.23,2-stop (Medium→Soft→Hard)
Monaco,Rainy,60,0.92,1-stop (Medium→Hard)
Bahrain,Cloudy,55,1.45,1-stop (Medium→Hard)
Bahrain,Rainy,75,0.81,1-stop (Medium→Hard)
Monza,Cloudy,74,1.76,2-stop (Soft→Medium→Hard)
Spa,Sunny,72,1.11,2-stop (Medium→Soft→Hard)
Monza,Rainy,73,1.49,1-stop (Medium→Hard)
Monaco,Sunny,72,2.16,2-stop (Soft→Medium→Hard)
Silverstone,Rainy,57,0.86,1-stop (Medium→Hard)
Silverstone,Rainy,51,0.7,1-stop (Medium→Hard)
Suzuka,Sunny,57,2.22,1-stop (Medium→Hard)
Spa,Sunny,67,2.06,2-stop (Soft→Medium→Hard)
Suzuka,Cloudy,71,1.67,2-stop (Soft→Medium→Hard)
